Serial Number,Project Name,Promoter Name,Last Modified Date,View URL
1,Four Seasons Private Residences Phase - 1,Provenance Land Private Limited,12/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=%2bl%2br4%2fJbraiVhToUNPPtbrEnkbnl0MMplybZ3sZ6DG78VbVWWn%2f%2fVhukt3JgyG3rpATnNuMihAFpurx37e3kia%2f22RQl5QyDYYSTHyjRusIM5DCW5SgSE72m%2fwu5t7%2f0cAV3DppE6M4TnCsm1egh7DBWaIZDv%2b4jpyGofV6SjAZiXvRxy2LqKA%3d%3d
2,A. M. Residency,ALFA MANA REALTORS PVT LTD,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=aHPidb1SCKu8ljQ931B%2fJ3DEcbn1iAM9HXFPVTTu2hzea8qveczQKAOfu9QpO5sx4blDT7LocMQ3zyJsKQUMvivPZKSgRreXTb4VSpkW3OqYEgXZSkSYc4R4RUucf1t0mO4VEmEJsDAYjMuKFfJqOAaA%2fwY6MXR%2boEhWbSz7Z4ceTFE61zcu1Q%3d%3d
3,SONAS TOWER,SHREE DEVIJUGAI DEVELOPERS,14/11/2017,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=ayjp9lNjay0FPTTDOOSbTltGaTrQzWi79%2f5B%2fZdblNGecOYtA0aPxfuVqw5KcJhK8NhrJehvoz6Yqb4t64eMi7bRzEnhPdzFpSugYtufGCIxsbyNwiq6jiNJW1pB2anKW%2f2cQBJcfaNbz%2byC2OpGyBPFsLlnrWF4p3x6i7stkdUP0htjGRZ2lQ%3d%3d
4,OM SAHIL SOLITAIRE,M/s. OM SAHIL SOLITAIRE,14/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Jn8FsO0hxxc%2bd2xFOwtJ6tD1bgjV7uVa4Tg3fbCw2Lm%2bObvrjHiCUZq21eQTAcB3WJKzSGO2cVUHvpMtry19f6HzZWpcQvJnu2gLb8pS5%2bj35NrZQG9IlzRQL%2b3rTqy22lL9JwbDw01ZJjl8ET61YK1FrJAoqp3tnb8SkHeaLqT1l1ZJ%2fR1nGQ%3d%3d
5,CHANDAN PRIDE,SANGHVI LAND DEVELOPERS PVT LTD,23/01/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=3no6qNSQ4EbmmsAm5SK6zbeTPIxFq%2f6XNULjkmvt6V646OkVDcimQ9DBAtTs9YH84aH7C6te8k6w8%2f%2bP78IymUD0d7j7LrJeyUarnuGzJEW%2b9%2bl95Dp13lFYtdcUNUzlaw3oH0dOilArBv7oehw4Sz4NjC8UzQwMTHoLXQrKA87XG%2bDjwK6JWA%3d%3d
6,AARADHYA SIGNATURE,MANMANTRA INFRACON LLP,07/01/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=CdRC9ihnc8VxkIUPx1qFNvi02hDeEzDtyxgSj%2buvQFz7reaccHeM%2bVL0XSHsJaIcVvB56DRGodxAjJ2WhdzI9yYDHCYOn0ALKAr6b6sp2GarOnGGUxVQXXrQ1EIODt7RfB0SBVacx2TTui0OIgPp5x2WB7SiGEz6A1O7zf27bCJXYGW839QrbA%3d%3d
7,SHREEPATI ARADHANA,SHREEPATI BUILD INFRA INVESTMENT LIMITED,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=AEkBr%2bl0XQZJwjkMZXRZSAAw%2b67%2bkMuJ37Z6nY1xzL2D7TZ8Shh87v%2bIr4RtCbZn7Cce7ywisw01bZJwPbpczG2DCnNuDoYimUpd%2fHaq1HScszMhVtQVEOAuiHr4Q%2b6qXZVYcdf8t3gKaKbMlAVQwnimDaQVRBzw8VVOFWorYDnehyZIdSZB0g%3d%3d
8,VICTORIAN,Faithfull Developers,20/01/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=pfUgQ3ksi56JMWl2Jve%2bB1sPyPkv4zCrbChVga%2fq3IIHAzG4%2fhx%2fUslKHhlIg9s4FoixMDuCRN%2fATPKF%2f%2fGE2Jk7ICp2SN0NupW03LY40eVK6zJXYcTv243AOxe2HRPcseh0Z4opQQloXpqfPgUqZPTtyrzLjH4zaiKsrrlVyyKC2XCFNnTalw%3d%3d
9,Sanghvi Evana,Sanghvi Premises Private Limited,24/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=PjBSe8izwHSZZJADfOi%2bgT87T2j0HLHGE7rk7cd6MHhYuFWADdBbBcbmBtxNJ%2bNpx%2bhWKtlx2vAm7xLLx7ngrwgYkQK4Xy89dHih%2fL5%2bQ%2fRISenukBJ4efaqfNpC92cWgis6%2fu%2fDxrWrhA18J6kjqiy5DorctKXj09N9qfXLOuqBre8xanhJjA%3d%3d
10,Ruby Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=hg4F2fbMGMzE3fnEkUxKvQeEwWaf8WBqjIeQllmhen4Vj%2fbGUaNDInWOvWhP2j04ZBLkRE%2bqL5TIOqXInut61uAQO2yks8cxBO%2bQFUn%2b4tFLw%2b6ttMrrm5wkFRmLzlv2URTwKYnqYxivQS0%2fV9vaD824et2QScqfyLrMGVW%2fUL9K1HWJz8da4w%3d%3d
11,Bharat Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=ejuHaK3%2bAjcjgGLquwUMqvKY3L6bCjAtFILo8afEyi%2b9JulqDx9IZbB6pSYbnOBt1fsPVtSj1JQ2mAF3HiJ0BG%2f2QUlYayKYuaPY4xpfOlp3RgkrAKV92nFIlZevKGdA3khTkyV%2fVHuivcTgfzkzUVtm8k1EFB4TkvL0ph0g2m3eVP28EAcBOg%3d%3d
12,Jubilee Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=rGPqcSAeAj%2bQV5cUZhggDjVUbf1sTXJBuHb6lHPJM4XaHDMDtgYIeEEfdGPRuxUbgzjRBVKl8uXTzuYBKafsNErZT8V7g8MTwRuTj3o9sqUK1RT3zXo%2bxAY2e1FNwngjDjlrteJgFLQVMR34P59%2fJ6RQ0D5536GnwcZaU3c7i1BDUSQMbiBagQ%3d%3d
13,Prakash Cotton Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Bq6913QzBXXEaNSw3gk2xHDqHLoHS1h3t%2fZgPTPLF8uWKWa00EIvr6VksGAR2y%2bipzXHazqGRpwU0nvweSKOzWoxwWj2ASO067fXn%2fVZ9l39ZM%2fwX4DknOoLdiaJc6WeFGAHa4PUg3TD%2fmg%2flhVE8wgHc%2fKmBqloqaxSopt7jF7TujwoMXyCZw%3d%3d
14,Bombay Dyeing Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Sp19ri6Fb6rgISIvdDYMD13A1snpHnrmv028kJS%2fe4MgAEXMDIvfSOqp0GT5W5JP85YDt9KYSAGtkaUVbFIeP1Oxx8eOrGVTIpKmDoyS4MGPr415RsBIV%2bl9glz4KFC%2bmml%2fs%2fsKh0c7YlxlL3WfAhaQfDq8wZF9UwhZHSl5nKdwQ0BkbwS6nA%3d%3d
15,Century Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=IkMxLQsJMYGbdfIFQgpMwtUDCKHJq8pF7W7fHOERqWdH8ZxUNbfEu0Gy%2bGWJlBrrpaQ4Wif1gbw0qQ10cvbrrcPdDpA%2fXnHsyoEja956OyIeKkrPcdygZ%2bWU8m2dGztfWLBDXJyNFx0SNcHzLZ54Uw%2b4mjvfC6L1wL5tnCbbN%2f6R0FkT6%2fHvng%3d%3d
16,Pratiksha Nagar Sion Phase V,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Rlx9wS2%2bR5nu3R0SLqiXMTjRr4ytOGwyAyqv7LYYv%2fhF55aM%2bxf8oRQMl6FgEqzU8XVldBC4TzsFJeLyGkXvpYZx5mLfS8cPB30qlBlgauvGx9yQ3Tjg27K7JD0MQmIzlRYaURcHb06D7OEAnYmX2SmfQ4P%2f1bqqh2AyoJRQ81%2f2Tc1JlTmv%2bA%3d%3d
17,Pratiksha Nagar Phase IV,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=w5AYl563sBeJltesK2hBdVRwtYkMiYLfP7c1qCMTgVl1HF8PiEsW43cJSyzXfaQI0qx8xQxDFk8h5SVaFH%2bVJ6TlkBaqQ2vlIbVYQBhGQjj0t%2b%2bR8ZsXrdYo8zhiGuQhTE5b1vgzB6vUAi4tT4YusXwIpx8sfxDV3IZYNbWG3y66xpfcTN0bew%3d%3d
18,Western India Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=hmJZe0J9fLjhr18F0%2fmewu3W7q3Zf9sP%2bjEBbCvKit2CU7ZfH4T6itZoCn2mMb0T0sRoqNympeuxrJlzeEMNMMXRaFxknkU3HBKWuPfYhOAE5H%2fXXEeakU0O2DCedaFC%2f9wECIPuYPWsd9x3EVRqAKiRBFQqpQcTplNjfOTx6o8vbYqIyx5g7A%3d%3d
19,219 Boat Club,MERINT DEVELOPERS PVT LTD,02/01/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=yLPJ1JY7A7ZWc%2b0%2fy0faM46CVKAPsxYbMvX4zrDmEo0NggWimggSVvGhWC59C%2feOtrtTicDExS9lgv3EyUgY5ND3u5XQWjwfugdeCmXGd%2ftlQOlnNxuOL9Zq%2beVJNnhu64Cg%2f1%2bPUpQPIlDTwae%2bx54nXyTHmy4t1m3r8blNxE0K8xD7hwvbYw%3d%3d
20,Palais Royale,Shree Ram Urban Infrastructure Limited,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=zfSaxhgfRL9Pof8PeMXS0hLiqJ0bUWQ7So%2fxhnS7%2fxbgQZhqgLMZCJrXi02ONfVNMi1UhmaxtXpAdG8uxLS1MUpEy%2bDsgEKqLWpMW3U4NaYJ8eoDPXjMGezCWaO7QmlmPL40TstA3xkCyEnaZ8mIWobM%2bfP%2fKSjeJZojW9ZHtTx3KQ%2bnRV6ZmA%3d%3d
21,Kalpataru Avana,Kalpataru Limited,24/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=v0IDPeY3NPVvUDAgF7hxm0G8Xb3NJOb%2fiLbqdzofw1%2b7gie%2bq7yFrX5Xefs8o5dfMwep2y%2fhUtuRv1bkYCItMJROodlgA2uG5mQIxI1a6PadvOB4bXvUwDYnDqQlRa12vPq1LXyhrexoN2xzrGf%2b9cI1jUtkNReCHzblZNdWl2NTd4DLAmq1Tw%3d%3d
22,PARK VISION,VVA VISION REALTORS LLP,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=hc3CqmpwWQ8d5AZ8SCLLKSifJwsvnI3niaHM0vBqT2jbMbZGzQXo8O6ub0znEa5WGyuhEBCtmCS%2byKYjMi%2fLWtcFW70TdA0PiUsA1AM00400AG5yG5dTYENuBYQmfaqrUKOi5wiH53IlruXlTV2sZZ2UFTrTLsZC%2be5HUi3DT6F4EOI%2fMa%2buXg%3d%3d
23,Om Sat,Shree Siddhi Developers,11/02/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Wub155oC1WqN6p5w3yoAz%2b2U%2f2a8%2fTgOCUSLhgYBrfj6fj7szVnmdwwTpnIA48Se55Q6Ho8eO6F5g0XY0INL8wX9bUpHorZHV232ZD3RttU6DUiZX7vw2JSi6PjvEaizcECxofYURNAdbUL0o4MNMWFPJe0XucBvsoozP07vPvWxRhhwqX4L3Q%3d%3d
24,KANAKIA MIAMI,KANAKIA SPACES REALTY PRIVATE LIMITED,24/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=T5Ge8lp0hesNH%2fy8sW45nocev1%2bIrbmHWWkHvU9CqptF8dbOyqUoBHCGHOhBYCGldFwPWd00UNpprFctrsQao34CRkV5cnN0hbs%2bz9cPcQViqiL2IE69iiTXxeCgApp%2f4VvrczPWhwSBByl7lfz%2b%2fobWFOxdMQ%2bdkyRc5QiJQ9o0oGntUv9hQg%3d%3d
25,Prem Girja,premdevelopers,09/12/2019,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=RJ86T0M8frOdQPJEZmW2fVWx97VzhwAMXm3HtMdTLKMNvLtNE%2bdWKsHqHz5I1JVcu0bx7eebymhzEU6W5QRaCApOv6FeMHQJcrWMvoMf1vq0QEVafCYFvomDL%2bSLHtkk3TdTpsutIymG6AGjdYPg9ULwlvdzp38%2bA%2bYFvyj5h9Xjb9PY7aiR8A%3d%3d
26,Anand Height Wing B & C,Akbar Mohamadali Kazi,07/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=PW5Ae5acI52sEhsDB70icaNL6vf1MM4mLK0w%2bIIM68ZQD5z1THp%2fm25j51oiwVtz0dxGsWmiJVu%2fzjAFEdfOgWjFtdikQFH8f78XG6GBolc0yrdBPRuI3bSNkgG542uD7XGOADeFLWvtDwC7lEkiNmm4pnMgzNhCg5kVHDvJJ7j9xmVHvkgffQ%3d%3d
27,Preksha,Sugee Six Developers LLP,16/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=r7txt9n5Zh9AY%2b0iNLs8VSV7QU8LsK%2bn0P0JQFUPYhETv%2baMZtyXl0vr2eytPGnYHW5s9oL1UK0cnhCiwB8172UjY005FrdopH3ju80KavTtUOZzGR4ItdSxg3GNn8MotQKv0xSFqCdmJRN6RT6BZLonIIVlCoigpzbxfVf%2bMb3R2LB5A8e2%2bA%3d%3d
28,MODY KUNJ,MEHTA ENTERPRISES,17/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=huPs0%2bUxmOSxS6Wjw32wjfZhh7JQjLI%2fP05Cs%2bFnbOi1aIG3UOyNUM5wLRP01s0odl7jF10IPCpsURjwD0iMDrU9LgqqbtKM%2b1G7W5FilNocoa2%2ffiSEyX%2fLv5DTzXFnyQLupGWRV%2bAQbonghrrvbnchP%2bxplI%2fUwzvQcy1gVjvv9bYt%2bcbaZg%3d%3d
29,Sanskruti,Sugee Three Developers LLP,12/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=lQoe429XV8WseTx3kFu0S845%2bstZm2J2FtXfstOP0a%2bp8eNkSWeyNS43UR55wxkuKK7QAExZWG0a8beiUVTCT0xTbUQ%2fAZpirWOEt1GRu%2fjpyUiTg7g3%2bW3WClUEUdjWHUvy0AHoUS8gkBoHOYrzexbMTATesCSch8ZWUcTCNc51%2foxAr%2f8FcQ%3d%3d
